dataset,method,method_label,epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,no_improve
ncaltech101,voxel_grid,Voxel Grid,6,1.144593,0.76252,2.279399,0.456241,0.456241,
ncaltech101,voxel_grid,Voxel Grid,7,0.679908,0.891866,2.314043,0.463415,0.463415,
ncaltech101,voxel_grid,Voxel Grid,8,0.329768,0.971451,2.414967,0.444763,0.463415,
ncaltech101,voxel_grid,Voxel Grid,9,0.140035,0.995853,2.242872,0.460545,0.463415,
ncaltech101,voxel_grid,Voxel Grid,10,0.063966,0.999043,2.175826,0.493544,0.493544,
ncaltech101,voxel_grid,Voxel Grid,11,0.036106,0.999362,2.154212,0.500717,0.500717,
ncaltech101,voxel_grid,Voxel Grid,12,0.022611,1.0,2.133346,0.500717,0.500717,
ncaltech101,voxel_grid,Voxel Grid,13,0.016866,1.0,2.132358,0.500717,0.500717,
ncaltech101,voxel_grid,Voxel Grid,14,0.013543,1.0,2.180846,0.492109,0.500717,
ncaltech101,voxel_grid,Voxel Grid,15,0.011181,1.0,2.161129,0.499283,0.500717,
ncaltech101,voxel_grid,Voxel Grid,16,0.008651,1.0,2.154298,0.494978,0.500717,
ncaltech101,voxel_grid,Voxel Grid,17,0.007441,1.0,2.171021,0.48637,0.500717,
ncaltech101,voxel_grid,Voxel Grid,18,0.006747,1.0,2.173737,0.487805,0.500717,
ncaltech101,voxel_grid,Voxel Grid,19,0.005442,1.0,2.176559,0.499283,0.500717,
ncaltech101,voxel_grid,Voxel Grid,20,0.004933,1.0,2.203074,0.494978,0.500717,
ncaltech101,voxel_grid,Voxel Grid,21,0.004439,1.0,2.183502,0.48637,0.500717,
